企业名称,线索id,线索标题,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还1着2,0表示0店了）",线索是否下架
上海润米科技有限公司,32818318,90分同款旅行箱 铝框行李箱 20寸登机箱 万向轮拉杆箱 商务旅行箱,https://item.taobao.com/item.htm?id=656877412160,197430,90,tb287743566,睿米智能箱包店,https://shop321762138.taobao.com,2024/7/18 11:13,2021/5/14 23:02,1,未下架
上海润米科技有限公司,32818306,小米有品90分旅行箱20寸行李箱女24寸拉杆箱男女28寸万向轮皮箱子,https://item.taobao.com/item.htm?id=675985844879,197430,90,窝窝头的窝窝头,小米卖箱包,https://shop204160553.taobao.com,2024/7/18 11:13,2020/5/30 3:36,1,已下架
上海润米科技有限公司,33013300,90分行李箱静音万向轮正品拉杆箱商务静音经典版,https://item.taobao.com/item.htm?id=682076639737,197430,90,风中的老桥121,90分outlet折扣店,https://shop141920275.taobao.com,2024/8/2 11:36,2015/11/21 20:45,1,已下架
上海润米科技有限公司,32719042,90分行李箱男20寸密码拉杆皮箱女静音结实耐用万向轮登机旅行箱子,https://item.taobao.com/item.htm?id=693078685612,197430,90,直营箱包,直营箱包,https://shop588217268.taobao.com,2024/7/11 10:37,,1,未下架
上海润米科技有限公司,32818326,90分行李箱旅行箱轻音万向轮德国科思创PC箱男女拉杆箱防刮登机箱,https://item.taobao.com/item.htm?id=694903165405,197430,90,tb199928857,养个毛的孩子,https://shop349138171.taobao.com,2024/7/18 11:13,,1,未下架
上海润米科技有限公司,32818293,90分20寸登机箱男女铝框旅行箱24寸拉杆箱万向轮大容量28寸行李箱,https://item.taobao.com/item.htm?id=715882526020,197430,90,tb5878753811,万巷包罗,https://shop252074380.taobao.com,2024/7/18 11:13,,1,未下架
上海润米科技有限公司,32638313,小米90分全铝镁合金拉杆箱万向轮行李箱男女28密码登机箱30行李箱,https://item.taobao.com/item.htm?id=717544432375,197430,90,小米米家折扣品牌店,小米米家折扣品牌店,https://shop228364967.taobao.com,2024/7/3 11:39,2023/4/11 18:43,1,已下架
上海润米科技有限公司,32638412,小米90分官方正品外贸特价拉杆箱20寸登机箱万向轮24寸学生行李箱,https://item.taobao.com/item.htm?id=730025001091,197430,90,MJIA米旅行专柜,MJIA米旅行专柜,https://shop315227660.taobao.com,2024/7/3 11:39,2023/3/27 19:57,1,未下架
上海润米科技有限公司,32818320,米家90分全铝镁合金拉杆箱万向轮行李箱男女登机箱20寸商务旅行箱,https://item.taobao.com/item.htm?id=732659633894,197430,90,tb3915739292,小米行李箱拉杆箱工厂折扣店,https://shop249920894.taobao.com,2024/7/18 11:13,2022/8/26 12:35,1,未下架
上海润米科技有限公司,32818311,米家90分全铝镁合金20登机箱万向轮行李箱男密码箱学生女拉杆箱,https://item.taobao.com/item.htm?id=732784886982,197430,90,tb3915739292,小米行李箱拉杆箱工厂折扣店,https://shop249920894.taobao.com,2024/7/18 11:13,,1,未下架
上海润米科技有限公司,32638399,米家90分全铝镁合金拉杆箱万向轮男行李箱女登机箱24寸密码旅行箱,https://item.taobao.com/item.htm?id=732942011366,197430,90,小米行李箱拉杆箱工厂折扣店,小米行李箱拉杆箱工厂折扣店,https://shop249920894.taobao.com,2024/7/3 11:39,2022/8/26 12:35,1,已下架
上海润米科技有限公司,33013304,90分行李箱男女2024新款结实耐用加厚20寸登机箱大容量28寸旅行箱,https://item.taobao.com/item.htm?id=733619393954,197430,90,tb385878100,小米米家生态箱包,https://shop386669001.taobao.com,2024/8/2 11:36,2021/8/31 17:52,1,未下架
上海润米科技有限公司,32638256,90分登机拉杆箱旅行箱静音万向轮男女20寸24寸商务出差行李箱,https://item.taobao.com/item.htm?id=736123220786,197430,90,90米家优选,90米家优选,https://shop218515509.taobao.com,2024/7/3 11:39,2018/2/23 18:50,1,已下架
上海润米科技有限公司,32818331,90分同款登机拉杆箱旅行箱静音万向轮男女20寸24寸26寸商务登机箱,https://item.taobao.com/item.htm?id=737106217427,197430,90,tb287743566,睿米智能箱包店,https://shop321762138.taobao.com,2024/7/18 11:13,2021/5/14 23:02,1,已下架
上海润米科技有限公司,32638332,90分旅行箱男女通用拉杆箱大容量海关锁耐用学生简约行李箱可登机,https://item.taobao.com/item.htm?id=743065935016,197430,90,小米米家生态箱包,小米米家生态箱包,https://shop386669001.taobao.com,2024/7/3 11:39,2021/8/31 17:52,1,未下架
